election.date,county,unknown.flag,name,addr.line.1,addr.line.2,open.date,hours,lon,lat
﻿11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/20/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/21/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/22/2016,Closed,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/23/2016,Closed,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/24/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/25/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/26/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/27/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/28/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/29/2016,9:00AM - 4:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/30/2016,Closed,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",10/31/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",11/01/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",11/02/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",11/03/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",11/04/2016,8:00AM - 5:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,COURT SERVICES,201 W ELM ST,"GRAHAM, NC 27253",11/05/2016,9:00AM - 1:00PM,-79.4023689,36.0696439
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/20/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/21/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/22/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/23/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/24/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/25/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/26/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/27/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/28/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/29/2016,9:00AM - 4:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/30/2016,Closed,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",10/31/2016,9:00AM - 5:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",11/01/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",11/02/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",11/03/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",11/04/2016,9:00AM - 6:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300,"BURLINGTON, NC 27215",11/05/2016,9:00AM - 1:00PM,-79.4873377,36.0785952
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/20/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/21/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/22/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/23/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/24/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/25/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/26/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/27/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/28/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/29/2016,9:00AM - 4:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/30/2016,Closed,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",10/31/2016,9:00AM - 5:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",11/01/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",11/02/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",11/03/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",11/04/2016,9:00AM - 6:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,KERNODLE SENIOR CENTER,1535 S MEBANE ST,"BURLINGTON, NC 27215",11/05/2016,9:00AM - 1:00PM,-79.4512281,36.0796289
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/20/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/21/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/22/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/23/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/24/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/25/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/26/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/27/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/28/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/29/2016,9:00AM - 4:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/30/2016,Closed,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",10/31/2016,9:00AM - 5:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",11/01/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",11/02/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",11/03/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",11/04/2016,9:00AM - 6:00PM,-79.2841369,36.085725
11/08/2016,ALAMANCE,N,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST,"MEBANE, NC 27302",11/05/2016,9:00AM - 1:00PM,-79.2841369,36.085725
11/08/2016,ALEXANDER,Y,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,"TAYLORSVILLE, NC 28681",10/20/2016,8:00AM - 5:00PM,-81.1806158,35.9198757
11/08/2016,ALEXANDER,Y,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,"TAYLORSVILLE, NC 28681",10/21/2016,8:00AM - 5:00PM,-81.1806158,35.9198757
11/08/2016,ALEXANDER,Y,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,"TAYLORSVILLE, NC 28681",10/22/2016,Closed,-81.1806158,35.9198757
11/08/2016,ALEXANDER,Y,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,"TAYLORSVILLE, NC 28681",10/23/2016,Closed,-81.1806158,35.9198757
