party,district,member,counties,link
R,96.0,Jay Adams,Catawba,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=697
D,41.0,Gale Adcock,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=688
D,115.0,John Ager,Buncombe,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=689
D,107.0,"Kelly M. Alexander, Jr.",Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=579
R,69.0,Dean Arp,Union,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=640
D,100.0,John Autry,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=710
D,49.0,Cynthia Ball,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=711
D,92.0,Chaz Beasley,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=712
D,88.0,Mary Belk,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=713
R,10.0,"John R. Bell, IV","Craven, Greene, Lenoir, Wayne",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=661
D,21.0,Larry M. Bell,"Duplin, Sampson, Wayne",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=301
R,86.0,Hugh Blackwell,Burke,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=580
R,62.0,John M. Blust,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=234
R,52.0,"James L. Boles, Jr.",Moore,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=581
R,6.0,Beverly G. Boswell,"Beaufort, Dare, Hyde, Washington",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=714
R,98.0,"John R. Bradford, III",Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=690
R,103.0,William Brawley,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=609
D,22.0,William D. Brisson,"Bladen, Johnston, Sampson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=558
D,60.0,Cecil Brockman,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=691
R,55.0,Mark Brody,"Anson, Union",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=663
R,109.0,Dana Bumgardner,Gaston,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=659
R,67.0,Justin P. Burr,"Montgomery, Stanly",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=582
D,18.0,Deb Butler [ Appointed 02/06/2017 ],"Brunswick, New Hanover",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=730
D,102.0,Becky Carney,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=322
R,119.0,Mike Clampitt,"Haywood, Jackson, Swain",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=715
R,14.0,George G. Cleveland,Onslow,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=476
R,25.0,Jeff Collins,"Franklin, Nash",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=611
R,74.0,Debra Conrad,Forsyth,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=675
R,120.0,Kevin Corbin,"Cherokee, Clay, Graham, Macon",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=716
D,106.0,Carla D. Cunningham,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=642
R,19.0,"Ted Davis, Jr.",New Hanover,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=637
R,4.0,Jimmy Dixon,"Duplin, Wayne",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=613
R,85.0,Josh Dobson,"Avery, McDowell, Mitchell",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=681
R,36.0,Nelson Dollar,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=489
R,104.0,Andy Dulin,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=717
D,101.0,Beverly M. Earle,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=34
R,94.0,Jeffrey Elmore,"Alleghany, Wilkes",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=643
R,61.0,John Faircloth,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=603
D,24.0,Jean Farmer-Butterfield,"Pitt, Wilson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=379
D,114.0,Susan C. Fisher,Buncombe,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=463
D,43.0,Elmer Floyd,Cumberland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=583
R,76.0,Carl Ford,"Cabarrus, Rowan",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=644
R,95.0,John A. Fraley,Iredell,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=686
D,32.0,Terry E. Garrison,"Granville, Vance, Warren",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=718
D,33.0,Rosa U. Gill,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=597
D,66.0,Ken Goodman,"Hoke, Montgomery, Richmond, Robeson, Scotland",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=614
D,47.0,Charles Graham,Robeson,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=615
D,12.0,George Graham,"Craven, Greene, Lenoir",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=672
R,20.0,Holly Grange,New Hanover,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=709
R,87.0,Destin Hall,Caldwell,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=719
D,11.0,Duane Hall,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=679
R,91.0,Kyle Hall,"Rockingham, Stokes",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=704
D,29.0,Larry D. Hall [ Resigned 01/16/2017 ],Durham,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=572
