party,district,member,counties,link
R,15.0,"John M. Alexander, Jr.",Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=392
R,45.0,Deanna Ballard,"Alleghany, Ashe, Avery, Caldwell, Watauga",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=396
R,18.0,Chad Barefoot,"Franklin, Wake",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=369
R,17.0,Tamara Barringer,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=368
R,26.0,Phil Berger,"Guilford, Rockingham",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=64
R,39.0,Dan Bishop,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=398
D,14.0,Dan Blue,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=268
R,13.0,"Danny Earl Britt, Jr.","Columbus, Robeson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=399
R,34.0,Andrew C. Brock,"Davie, Iredell, Rowan",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=104
R,6.0,Harry Brown,"Jones, Onslow",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=139
D,4.0,Angela R. Bryant,"Halifax, Nash, Vance, Warren, Wilson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=382
D,16.0,Jay J. Chaudhuri,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=395
D,21.0,Ben Clark,"Cumberland, Hoke",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=380
R,1.0,Bill Cook,"Beaufort, Camden, Currituck, Dare, Gates, Hyde, Pasquotank, Perquimans",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=381
R,44.0,David L. Curtis,"Gaston, Iredell, Lincoln",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=378
R,46.0,Warren Daniel,"Burke, Cleveland",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=295
D,5.0,Don Davis,"Greene, Lenoir, Pitt, Wayne",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=230
R,50.0,Jim Davis,"Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=357
R,33.0,Cathy Dunn,"Davidson, Montgomery",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=401
R,48.0,Chuck Edwards,"Buncombe, Henderson, Transylvania",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=397
D,38.0,Joel D. M. Ford,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=370
D,23.0,Valerie P. Foushee,"Chatham, Orange",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=383
R,24.0,Rick Gunn,"Alamance, Randolph",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=276
R,43.0,Kathy Harrington,Gaston,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=283
R,47.0,Ralph Hise,"Madison, McDowell, Mitchell, Polk, Rutherford, Yancey",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=298
R,11.0,Rick Horner,"Johnston, Nash, Wilson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=400
R,10.0,Brent Jackson,"Duplin, Johnston, Sampson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=281
D,37.0,Jeff Jackson,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=386
R,31.0,Joyce Krawiec,"Forsyth, Yadkin",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=384
R,9.0,Michael V. Lee,New Hanover,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=387
D,32.0,"Paul A. Lowe, Jr.",Forsyth,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=394
R,25.0,Tom McInnis,"Anson, Richmond, Rowan, Scotland, Stanly",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=389
D,20.0,"Floyd B. McKissick, Jr.","Durham, Granville",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=228
R,19.0,Wesley Meredith,Cumberland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=305
R,36.0,Paul Newton,"Cabarrus, Union",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=402
R,7.0,Louis Pate,"Lenoir, Pitt, Wayne",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=273
R,12.0,Ronald J. Rabin,"Harnett, Johnston, Lee",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=373
R,8.0,Bill Rabon,"Bladen, Brunswick, New Hanover, Pender",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=303
R,30.0,Shirley B. Randleman,"Stokes, Surry, Wilkes",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=374
D,28.0,Gladys A. Robinson,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=364
R,2.0,Norman W. Sanderson,"Carteret, Craven, Pamlico",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=375
D,3.0,Erica Smith-Ingram,"Bertie, Chowan, Edgecombe, Hertford, Martin, Northampton, Tyrrell, Washington",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=391
R,41.0,Jeff Tarte,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=376
R,29.0,Jerry W. Tillman,"Moore, Randolph",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=Senate&nUserID=99
